fid;Nr.;Nafn;Gerð;NG;X;Y;Z;H;Lengd;Horn;Unnið af;Dagsetning;tími;Ljósmynd;ALmenn lýsing á Jarðvegsaðstæðum;Til sérstakrar athugunar;Stagfestugerð;Gæði mats (1:borað, 2:pjakkað, 3:metið á staðnum) (V-H-A-F);Dýpi á jarðvatn [m] (V-H-A-F);Þykkt á lífrænu lagi [m] (V-H-A-F);Dýpi á burðarhæft [m] (V-H-A-F);Dýpi á fast [m] (V-H-A-F);Lífrænt efni (V-H-A-F);Yfir burðarhæfu (V-H-A-F);Burðarhæft efni (V-H-A-F);Klöpp (V-H-A-F);Er Nægjanlegt pláss fyrir mastrið, undirstöður, stagfestur og annan búnað?;Eru aðstæður fullnægjandi (fen, skurður, lækjarfarvegur o.s.frv.)?;Er mastrið utan hættusvæðis vegna landsbrots, skriðufalla, snjóflóða o.s.frv.?;Er mastrið utan við tún eða aðra viðkvæma staði?;Er staðbundin snjósöfnun í mastursstæði ólíkleg?;Er hóflegur hliðarhalli í mastursstæði?;Er þörf á sérstökum ráðstöfunum í mastursstæði? Ef þörf, þá hver?;Eru aðstæður í mastursstæði betri ef mastri er hliðrað til?;Leiðir færsla á mastri til þess að færa þurfi næstu möstur?;Er góð aðkoma að mastursstæði;Er þörf á aðkomuslóð (ef ekki, þá hvers vegna?);Er þörf á slóð fyrir jarðvinnutæki?;Er þörf á reisingarplani fyrir krana?;Búið að teikna aðkomuslóð a mynd?;Uppfyllir mastursstæði kröfur reglugerða um fjarlægð frá vegum og öðrum mannvirkjum? (1: já, 2:nei);Mastursstæði er í lagi, ekki þörf á breytingu;Skráning lokið (x)
33;31;29-B;SMH;31 SMH;458390.122;554535.733;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510097/HH3-29-B_8.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510083/HH3-29-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510093/HH3-29-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510074/HH3-29-B_10.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510099/HH3-29-B_9.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510086/HH3-29-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510081/HH3-29-B_13.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510072/HH3-29-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510090/HH3-29-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510088/HH3-29-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510095/HH3-29-B_7.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510076/HH3-29-B_11.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510079/HH3-29-B_12.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;32;30-B;BS;32 BS;458308.293;554709.768;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510106/HH3-30-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510113/HH3-30-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510108/HH3-30-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510104/HH3-30-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510111/HH3-30-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510102/HH3-30-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510115/HH3-30-B_7.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;33;31-B;BS;33 BS;458184.14;554973.817;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510129/HH3-31-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510118/HH3-31-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510124/HH3-31-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510122/HH3-31-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510120/HH3-31-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510131/HH3-31-B_7.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510127/HH3-31-B_5.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;34;31A-B;BS;34 BS;458049.055;555261.116;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510140/HH3-31A-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510143/HH3-31A-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510145/HH3-31A-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510134/HH3-31A-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510138/HH3-31A-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510136/HH3-31A-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510147/HH3-31A-B_7.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;35;32-B;SMH;35 SMH;457917.268;555541.402;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510168/HH3-32-B_9.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510157/HH3-32-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510151/HH3-32-B_10.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510162/HH3-32-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510155/HH3-32-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510166/HH3-32-B_8.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510159/HH3-32-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510153/HH3-32-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510149/HH3-32-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510164/HH3-32-B_7.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;36;33-B;BS;36 BS;457896.934;555813.534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;37;34-B;SMH;37 SMH;457860.473;556301.514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;38;35-B;SMH;38 SMH;457829.637;556714.203;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510174/HH3-35-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510172/HH3-35-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510171/HH3-35-B_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;39;36-B;BS;39 BS;457800.414;557105.304;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510186/HH3-36-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510191/HH3-36-B_7.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510179/HH3-36-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510177/HH3-36-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510188/HH3-36-B_6.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510182/HH3-36-B_3.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510184/HH3-36-B_4.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;40;37-B;BS;40 BS;457784.984;557311.807;;;;;;;;https://res.cloudinary.com/lthr3qec/image/upload/v1788510202/HH3-37-B_5.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510200/HH3-37-B_4.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510195/HH3-37-B_2.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510193/HH3-37-B_1.jpg, https://res.cloudinary.com/lthr3qec/image/upload/v1788510197/HH3-37-B_3.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
